"sector","Dim2","t","n","Val"
"Total_CO2","d","1           ","rjan57      ",5313.264924851738
"Total_CO2","a","1           ","rom         ",1138.026297861193
"Total_CO2","d","1           ","rom         ",11682.777055481183
"Total_CO2","a","1           ","rsaf        ",430.870080047350
"Total_CO2","d","1           ","rsaf        ",4416.718644916568
"Total_CO2","a","1           ","rsam        ",567.703477067379
"Total_CO2","d","1           ","rsam        ",9513.545048987284
"Total_CO2","a","1           ","rsas        ",455.372570772492
"Total_CO2","d","1           ","rsas        ",5688.872541106248
"Total_CO2","a","1           ","rsl         ",856.132409094915
"Total_CO2","d","1           ","rsl         ",9888.547831913549
"Total_CO2","a","1           ","rus         ",528.011628528042
"Total_CO2","d","1           ","rus         ",6084.168513211316
"Total_CO2","a","1           ","sau         ",542.704542941515
"Total_CO2","d","1           ","sau         ",13358.590199653947
"Total_CO2","a","1           ","slo         ",839.971475357111
"Total_CO2","d","1           ","slo         ",10518.499553962610
"Total_CO2","a","1           ","sui         ",748.801151206645
"Total_CO2","d","1           ","sui         ",8902.845845501344
"Total_CO2","a","1           ","swe         ",855.794676755669
"Total_CO2","d","1           ","swe         ",10026.565602517268
"Total_CO2","a","1           ","tha         ",522.789470299781
"Total_CO2","d","1           ","tha         ",6086.966333780710
"Total_CO2","a","1           ","tur         ",371.988192141558
"Total_CO2","d","1           ","tur         ",6684.391353927182
"Total_CO2","a","1           ","ukr         ",409.364826892170
"Total_CO2","d","1           ","ukr         ",8245.856655444697
"Total_CO2","a","1           ","usa         ",812.700994722633
"Total_CO2","d","1           ","usa         ",9633.488822480256
"Total_CO2","a","1           ","vnm         ",478.510640270698
"Total_CO2","d","1           ","vnm         ",5189.785987193761
"Total_CO2","a","1           ","zaf         ",289.493943227370
"Total_CO2","d","1           ","zaf         ",5387.206992290129
"Total_CO2","a","2           ","arg         ",564.822346844655
"Total_CO2","d","2           ","arg         ",5480.241257914922
"Total_CO2","a","2           ","aus         ",593.489375693988
"Total_CO2","d","2           ","aus         ",10306.618959316635
